id,.pred_anger,.pred_fear,.pred_joy,.pred_love,.pred_sadness,.pred_surprise
28794,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
852,0.396392651,0.280069252,0.200798809,0.004173501,0.118023442,0.000542346
2911,0.392974726,0.296030409,0.177073195,0.006605996,0.12607055,0.001245124
8578,0.371647606,0.252126112,0.143711457,0.007868735,0.219973136,0.004672955
26297,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
39647,0.41395718,0.273241706,0.172451149,0.00939885,0.127697941,0.003253175
71,0.452542036,0.242080873,0.181563065,0.009437741,0.113784222,0.000592063
3913,0.424832677,0.234833468,0.165865286,0.007670127,0.161772764,0.005025679
10741,0.366624945,0.23673011,0.222939913,0.011333793,0.158774774,0.003596465
257,0.144890309,0.060363987,0.356329151,0.275081629,0.140637201,0.022697724
25525,0.404973436,0.284404182,0.163950149,0.005772902,0.136768379,0.004130952
19033,0.452969687,0.247733605,0.182480291,0.003684356,0.109461937,0.003670124
24571,0.464223093,0.236455101,0.17574809,0.008921553,0.113754261,0.000897902
851,0.412142404,0.275325793,0.154801231,0.014273902,0.142631272,0.000825397
1079,0.395287811,0.251386326,0.173496542,0.010373114,0.16817843,0.001277778
696,0.362342841,0.221227617,0.235730699,0.025976412,0.149930367,0.004792063
1874,0.377307299,0.231324351,0.182462196,0.004064886,0.203876981,0.000964286
27083,0.404761444,0.251190615,0.196413698,0.008820406,0.137280504,0.001533333
1515,0.312485368,0.154551356,0.256291843,0.120412609,0.148313916,0.007944907
32474,0.378737601,0.290720049,0.161018141,0.008393019,0.159868187,0.001263004
35451,0.373253244,0.239432827,0.164722803,0.025682185,0.196020052,0.000888889
